"","cd_mun","year","mun","Area.colhida.sum","Quantidade.produzida.sum","Rendimento.medio.da.producao.sum","Valor.da.producao.sum","abbrv_s","cod_stt","BIOME","exporter","fc_m","total_land._.trase.mean","total_prod._.trase.mean","app_deficit_t","lr_deficit","lr_deficit_1","total_area","relative_deficit","relative_deficit_1","p_expo","freq_expo"
"1",2604700,2015,"Correntes (PE)",15,8,533,24,"PE",26,"Atlantic-Forest","non-exporter",0.0593383123846764,0,0,465.744251839,74.8349741333,540.9366,11009.467582474,0.0491013050288509,0.0914377415890249,0,"non-exporter"
"2",2604700,2016,"Correntes (PE)",0,0,0,0,"PE",26,"Atlantic-Forest","non-exporter",0.0614784371942645,0,0,465.744251839,74.8349741333,540.9366,11009.467582474,0.0491013050288509,0.0914377415890249,0,"non-exporter"
"3",2604700,2017,"Correntes (PE)",15,8,533,47,"PE",26,"Atlantic-Forest","non-exporter",0.0611993469034189,0,0,465.744251839,74.8349741333,540.9366,11009.467582474,0.0491013050288509,0.0914377415890249,0,"non-exporter"
"4",2615102,2015,"Terezinha (PE)",5,3,600,8,"PE",26,"Atlantic-Forest","non-exporter",0.0819628560628981,0,0,160.904430471437,114.58882781682,102.1094,5565.20777116702,0.0495027804200895,0.0472603793579989,0,"non-exporter"
"5",2615102,2016,"Terezinha (PE)",0,0,0,0,"PE",26,"Atlantic-Forest","non-exporter",0.098458427082613,0,0,160.904430471437,114.58882781682,102.1094,5565.20777116702,0.0495027804200895,0.0472603793579989,0,"non-exporter"
"6",2615102,2017,"Terezinha (PE)",3,3,1000,11,"PE",26,"Atlantic-Forest","non-exporter",0.102105931452567,0,0,160.904430471437,114.58882781682,102.1094,5565.20777116702,0.0495027804200895,0.0472603793579989,0,"non-exporter"
"7",2900603,2015,"Aiquara (BA)",10,3,300,16,"BA",29,"Atlantic-Forest","exporter",0.413893857501951,10,3,123.585014791812,67.7502005688,590.1779,4303.99333139079,0.0444552769088013,0.165837365403437,100,"ocasional"
"8",2900603,2016,"Aiquara (BA)",5,1,200,8,"BA",29,"Atlantic-Forest","exporter",0.411576654512739,10,1,123.585014791812,67.7502005688,590.1779,4303.99333139079,0.0444552769088013,0.165837365403437,100,"ocasional"
"9",2900603,2017,"Aiquara (BA)",5,4,800,28,"BA",29,"Atlantic-Forest","non-exporter",0.405088372830308,0,0,123.585014791812,67.7502005688,590.1779,4303.99333139079,0.0444552769088013,0.165837365403437,0,"ocasional"
"10",2900801,2015,"Alcobaça (BA)",221,530,2398,2518,"BA",29,"Atlantic-Forest","non-exporter",0.198730852291137,0,0,1475.8468898557,2050.30360150767,7928.6128,76714.9926746953,0.0459642941806144,0.122589592489889,0,"non-exporter"
